time,x,y,pupil_diameter
2623496,90.8,68.1,1380.0
2623497,92.4,66.5,1379.0
2623498,93.6,65.7,1379.0
2623499,94.0,65.7,1380.0
2623500,93.8,65.6,1380.0
2623501,93.8,65.7,1381.0
2623502,93.3,65.7,1381.0
2623503,92.2,67.9,1378.0
2623504,91.3,69.6,1370.0
2623505,91.3,71.5,1363.0
2623506,91.9,71.1,1361.0
2623507,93.4,71.1,1364.0
2623508,94.8,72.0,1365.0
2623509,96.2,73.1,1363.0
2623510,96.5,73.8,1359.0
2623511,96.4,73.2,1358.0
2623512,96.6,72.6,1357.0
2623513,96.9,73.0,1362.0
2623514,97.4,73.5,1368.0
2623515,100.0,74.4,1374.0
2623516,104.0,75.0,1374.0
2623517,109.8,76.8,1376.0
2623518,117.4,78.6,1378.0
2623519,130.8,79.9,1378.0
2623520,144.5,80.2,1375.0
2623521,153.8,82.1,1374.0
2623522,166.4,85.6,1376.0
2623523,181.4,90.5,1378.0
2623524,206.1,94.7,1379.0
2623525,222.4,98.1,1380.0
2623526,240.7,100.4,1379.0
2623527,254.6,101.5,1377.0
2623528,268.8,102.5,1390.0
2623529,283.8,103.5,1405.0
2623530,300.8,104.5,1421.0
2623531,319.3,105.7,1425.0
2623532,337.8,108.8,1428.0
2623533,353.7,113.3,1434.0
2623534,371.7,118.3,1438.0
2623535,386.6,121.1,1439.0
2623536,399.9,120.7,1437.0
2623537,410.9,119.8,1434.0
2623538,424.5,118.5,1432.0
2623539,437.5,119.0,1430.0
2623540,453.3,119.7,1430.0
2623541,465.6,119.4,1432.0
2623542,480.0,119.2,1434.0
2623543,489.7,118.2,1435.0
2623544,500.7,118.2,1435.0
2623545,508.7,118.0,1433.0
2623546,519.5,117.4,1430.0
2623547,527.6,117.3,1428.0
2623548,535.6,117.3,1436.0
2623549,540.2,116.4,1444.0
2623550,544.7,115.3,1443.0
2623551,548.2,111.1,1433.0
2623552,550.3,108.3,1423.0
2623553,550.4,105.5,1422.0
2623554,550.2,105.5,1424.0
2623555,550.1,105.5,1424.0
2623556,550.0,105.3,1423.0
2623557,550.2,104.9,1428.0
2623558,548.8,104.3,1435.0
2623559,546.4,103.6,1434.0
2623560,543.9,102.6,1428.0
2623561,542.8,102.3,1423.0
2623562,542.2,102.0,1428.0
2623563,541.6,102.1,1433.0
2623564,540.8,102.7,1435.0
2623565,540.5,104.1,1435.0
2623566,540.1,105.5,1436.0
2623567,541.0,105.1,1436.0
2623568,542.0,104.1,1435.0
2623569,543.1,103.2,1434.0
2623570,543.1,103.5,1435.0
2623571,543.1,102.9,1437.0
2623572,543.0,102.2,1441.0
2623573,542.9,100.8,1443.0
2623574,543.0,100.0,1433.0
2623575,543.1,99.2,1421.0
2623576,542.6,100.0,1412.0
2623577,542.0,101.3,1415.0
2623578,541.7,104.9,1417.0
2623579,541.0,107.1,1416.0
2623580,540.5,107.6,1416.0
2623581,539.8,106.4,1416.0
2623582,540.1,105.7,1416.0
2623583,540.2,106.7,1415.0
2623584,539.7,107.1,1413.0
2623585,539.0,107.1,1414.0
2623586,539.5,107.0,1416.0
2623587,540.6,106.3,1417.0
2623588,541.4,105.6,1417.0
2623589,540.6,105.2,1416.0
2623590,539.6,106.1,1416.0
2623591,539.0,106.9,1417.0
2623592,540.4,107.9,1418.0
2623593,541.9,107.0,1417.0
2623594,541.5,105.8,1415.0
2623595,539.6,105.3,1415.0
2623596,537.5,106.6,1416.0
2623597,537.4,108.0,1417.0
2623598,537.8,106.1,1418.0
2623599,538.2,103.6,1418.0
2623600,538.2,102.7,1412.0
2623601,538.9,106.5,1407.0
2623602,539.5,110.2,1406.0
2623603,538.4,111.7,1411.0
