Dataset,Samples,Events,Reading Measures,# Subjects,# Sessions per Subject,Sampling Rate,Stimulus Type
:any:`ToyDataset`,X,,,1,1,1000 Hz,"Text (documents), Random Dots"
:any:`ToyDatasetEyeLink`,X,,,1,1,1000 Hz,Text (documents)
